epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27906.6,1.46476,1.27633,1.11176,0.94728,0.9616,0.97443,0.69646,1.04638,25.0759,0.97439,0.000475458,0.000475458,0.000475458
2,42773.1,1.00208,0.62344,0.93548,0.95715,0.96548,0.98182,0.765,0.8337,81.6945,0.89074,0.000932946,0.000932946,0.000932946
3,58087.3,0.87921,0.54379,0.8945,0.92246,0.95835,0.98515,0.79757,0.72878,67.4792,0.86182,0.00137157,0.00137157,0.00137157
